tipo_cruzamento,cidade,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por,divisoes_compativeis
casa,Évian-les-Bains,"27 Route De Saint Thomas, 74500 Évian-les-Bains",237.0,1488.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.388355,6.590182",Cabinet Greneche,https://grenecheimmo.fr/fr/propriete/vente+maison+thonon-les-bains+maison-8-pieces-6-chambres-thonon-les-bains+85941905,240.0,,8.0,1.25,,habitavel,True
casa,Thonon-les-Bains,"31 Chemin des Croz, 74200 Thonon-les-Bains",99.0,940.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.359631,6.45169",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,1.0,,habitavel,
casa,Thonon-les-Bains,"23 Avenue du Vernay, 74200 Thonon-les-Bains",100.0,614.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.365891,6.461343",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"15 Boulevard de Savoie, 74200 Thonon-les-Bains",110.0,515.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.374512,6.484044",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52196942,109.0,746.0,5.0,0.91,30.97,habitavel,True
casa,Thonon-les-Bains,"7 Chemin des Oiseaux, 74200 Thonon-les-Bains",110.0,515.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.357958,6.454618",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52196942,109.0,746.0,5.0,0.91,30.97,habitavel,True
casa,Thonon-les-Bains,"7 Rue des Prés de Vongy, 74200 Thonon-les-Bains",100.0,62.0,3.0,"https://www.google.com/maps/search/?api=1&query=46.383297,6.504294",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"4 Rue des Prés de Vongy, 74200 Thonon-les-Bains",100.0,36.0,3.0,"https://www.google.com/maps/search/?api=1&query=46.383204,6.504269",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Évian-les-Bains,"54 Route De La Corniche - Rd 21, 74500 Évian-les-Bains",102.0,1898.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.385452,6.580878",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/1-maison/t5/7576-chalet-en-bois-avec-pleine-vue-lac-leman/,101.74,,,0.25,,habitavel,
casa,Thonon-les-Bains,"9 Chemin de Bachex, 74200 Thonon-les-Bains",119.0,1304.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.367757,6.468888",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.02,,habitavel,
casa,Thonon-les-Bains,"15 Avenue de la Grangette, 74200 Thonon-les-Bains",100.0,1004.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.361481,6.464789",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"46 Avenue de Champagne, 74200 Thonon-les-Bains",100.0,950.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.374223,6.497492",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"4 Allée de la Roseraie, 74200 Thonon-les-Bains",118.0,670.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.371594,6.476116",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,0.18,,habitavel,
casa,Évian-les-Bains,"24 Route Des Tours, 74500 Évian-les-Bains",163.0,1028.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.391131,6.587587",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,1.23,,habitavel,
casa,Thonon-les-Bains,"11 Route de la Visitation, 74200 Thonon-les-Bains",123.0,4116.0,7.0,"https://www.google.com/maps/search/?api=1&query=46.353895,6.44647",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+maison+thonon-les-bains+exclusivite-nouveaute+87067200,125.0,,7.0,1.6,,habitavel,True
casa,Thonon-les-Bains,"7 Route de la Visitation, 74200 Thonon-les-Bains",123.0,2007.0,7.0,"https://www.google.com/maps/search/?api=1&query=46.354308,6.446919",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+maison+thonon-les-bains+exclusivite-nouveaute+87067200,125.0,,7.0,1.6,,habitavel,True
casa,Thonon-les-Bains,"112 Avenue de Saint-Disdille, 74200 Thonon-les-Bains",228.0,383.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.400768,6.504158",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-corzent-villa-de-227-m2-avec-t2-independant/,227.0,,,0.44,,habitavel,
casa,Thonon-les-Bains,"9 Route de la Visitation, 74200 Thonon-les-Bains",123.0,2006.0,7.0,"https://www.google.com/maps/search/?api=1&query=46.354114,6.446743",Christelle Vannier Immobilier,https://cvannier-immobilier.com/fr/propriete/vente+maison+thonon-les-bains+exclusivite-nouveaute+87067200,125.0,,7.0,1.6,,habitavel,True
casa,Thonon-les-Bains,"3 Chemin du Paradis, 74200 Thonon-les-Bains",100.0,725.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368709,6.486775",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"2 Chemin du Paradis, 74200 Thonon-les-Bains",100.0,720.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368636,6.486709",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"27 Avenue de la Fontaine Couverte, 74200 Thonon-les-Bains",118.0,4520.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.365834,6.500582",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,0.18,,habitavel,
casa,Évian-les-Bains,"83 Route De La Corniche - Rd 21, 74500 Évian-les-Bains",102.0,585.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.385573,6.580776",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/1-maison/t5/7576-chalet-en-bois-avec-pleine-vue-lac-leman/,101.74,,,0.25,,habitavel,
casa,Thonon-les-Bains,"34 Avenue de la Fontaine Couverte, 74200 Thonon-les-Bains",118.0,801.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.366052,6.50051",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,0.18,,habitavel,
casa,Évian-les-Bains,"31 Avenue De Grande - Rive - Rd 1005, 74500 Évian-les-Bains",160.0,335.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.402892,6.611771",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,0.62,,habitavel,
casa,Thonon-les-Bains,"18 Boulevard Bel Air, 74200 Thonon-les-Bains",120.0,2215.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368652,6.46757",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.84,,habitavel,
casa,Thonon-les-Bains,"14 Presqu’Île les Pinèdes, 74200 Thonon-les-Bains",116.0,1452.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.401396,6.510099",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.52,,habitavel,
casa,Thonon-les-Bains,"31 Avenue de l’Ermitage, 74200 Thonon-les-Bains",115.0,1118.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.367521,6.488413",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,2.37,,habitavel,
casa,Thonon-les-Bains,"15 Chemin Jean Moynat, 74200 Thonon-les-Bains",120.0,1019.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368852,6.468457",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.84,,habitavel,
casa,Thonon-les-Bains,"33 Avenue de l’Ermitage, 74200 Thonon-les-Bains",115.0,1118.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.367455,6.488648",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,2.37,,habitavel,
casa,Thonon-les-Bains,"6 Chemin de Sarajo, 74200 Thonon-les-Bains",,742.0,,"https://www.google.com/maps/search/?api=1&query=46.35713,6.470389",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52196942,109.0,746.0,5.0,,0.54,terreno,
casa,Thonon-les-Bains,"9 Impasse de Létroz Sud, 74200 Thonon-les-Bains",102.0,162.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.359466,6.457025",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,1.96,,habitavel,
casa,Thonon-les-Bains,"7 Impasse de Létroz Sud, 74200 Thonon-les-Bains",102.0,485.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.35948,6.457132",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,1.96,,habitavel,
casa,Thonon-les-Bains,"32 Avenue de la Fontaine Couverte, 74200 Thonon-les-Bains",118.0,1352.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.366165,6.50028",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,0.18,,habitavel,
casa,Thonon-les-Bains,"105 Boulevard de la Corniche, 74200 Thonon-les-Bains",99.0,1078.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.359567,6.451043",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,1.0,,habitavel,
casa,Thonon-les-Bains,"4 Chemin du Clos d’Armoy, 74200 Thonon-les-Bains",99.0,179.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.377213,6.499261",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,1.0,,habitavel,
casa,Thonon-les-Bains,"19 Chemin du Marais, 74200 Thonon-les-Bains",100.0,1038.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.356702,6.457503",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"20 Chemin du Marais, 74200 Thonon-les-Bains",100.0,986.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.356914,6.45796",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"17 Chemin du Marais, 74200 Thonon-les-Bains",100.0,1013.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.35686,6.4577",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"13 Chemin de la Liberté, 74200 Thonon-les-Bains",68.0,550.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.372569,6.487426",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-4-pieces-52556087,67.0,132.0,4.0,1.47,76.0,habitavel,True
casa,Thonon-les-Bains,"15 Chemin du Marais, 74200 Thonon-les-Bains",100.0,949.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.357077,6.457871",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"18 Chemin du Marais, 74200 Thonon-les-Bains",100.0,939.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.356892,6.458204",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Thonon-les-Bains,"16 Chemin du Marais, 74200 Thonon-les-Bains",100.0,1001.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.356974,6.458339",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,0.0,,habitavel,
casa,Évian-les-Bains,"29 Avenue De Gavot, 74500 Évian-les-Bains",102.0,956.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.388412,6.580876",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/1-maison/t5/7576-chalet-en-bois-avec-pleine-vue-lac-leman/,101.74,,,0.25,,habitavel,
casa,Thonon-les-Bains,"88 Avenue de Saint-Disdille, 74200 Thonon-les-Bains",86.0,2132.0,4.0,"https://www.google.com/maps/search/?api=1&query=46.396164,6.50306",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-4-pieces-52407645,85.0,,4.0,1.16,,habitavel,True
casa,Thonon-les-Bains,"20 Chemin d’Hirmentaz, 74200 Thonon-les-Bains",116.0,835.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.360473,6.458315",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.52,,habitavel,
casa,Thonon-les-Bains,"13 Chemin d’Hirmentaz, 74200 Thonon-les-Bains",116.0,750.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.360531,6.458436",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.52,,habitavel,
casa,Thonon-les-Bains,"10 Chemin de Bachex, 74200 Thonon-les-Bains",119.0,442.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.367628,6.468988",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.02,,habitavel,
casa,Évian-les-Bains,"6 Avenue Des Melezes, 74500 Évian-les-Bains",162.0,1176.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.39515,6.590875",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,0.62,,habitavel,
casa,Thonon-les-Bains,"152 Boulevard de la Corniche, 74200 Thonon-les-Bains",99.0,126.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.359938,6.451142",Leman Property Thonon,https://www.leman-property.com/vente/maison/thonon-les-bains/thonon-les-bains-pieds-dans-leau-ponton-prive-et-bouee-a-bateau/,100.0,,,1.0,,habitavel,
casa,Évian-les-Bains,"91 Boulevard Du Clou, 74500 Évian-les-Bains",102.0,177.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.388627,6.581217",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/1-maison/t5/7576-chalet-en-bois-avec-pleine-vue-lac-leman/,101.74,,,0.25,,habitavel,
casa,Thonon-les-Bains,"17 Boulevard Bel Air, 74200 Thonon-les-Bains",120.0,744.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368837,6.467753",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/maison-5-pieces-52196942,109.0,746.0,5.0,9.17,0.27,terreno,True
casa,Thonon-les-Bains,"17 Boulevard Bel Air, 74200 Thonon-les-Bains",120.0,744.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368837,6.467753",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.84,,habitavel,
casa,Évian-les-Bains,"7 Avenue Des Melezes, 74500 Évian-les-Bains",162.0,1400.0,6.0,"https://www.google.com/maps/search/?api=1&query=46.395195,6.59097",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,0.62,,habitavel,
casa,Évian-les-Bains,"21 Avenue De Larringes, 74500 Évian-les-Bains",157.0,300.0,8.0,"https://www.google.com/maps/search/?api=1&query=46.396357,6.582301",Leman Property Évian,https://www.leman-property.com/vente/maison/evian-les-bains/cottage-entierement-renove-dans-un-quartier-devian-tres-prise/,161.0,,,2.48,,habitavel,
casa,Thonon-les-Bains,"19 Boulevard Bel Air, 74200 Thonon-les-Bains",120.0,634.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.368935,6.467677",Agence Barnoud Thonon,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/1-thonon-les-bains/1-maison/t6/11010-le-confort-d-une-maison-contemporaine-aux-portes-du-lac-leman/,117.79,,,1.84,,habitavel,
casa,Évian-les-Bains,"26 Avenue De Gavot, 74500 Évian-les-Bains",102.0,15.0,5.0,"https://www.google.com/maps/search/?api=1&query=46.388639,6.580966",Agence Barnoud Évian,https://www.barnoud-immobilier.fr/vente/74-haute-savoie/2-evian-les-bains/1-maison/t5/7576-chalet-en-bois-avec-pleine-vue-lac-leman/,101.74,,,0.25,,habitavel,
